Applicant_ID,Applicant_Gender,Owned_Car,Owned_Realty,Total_Children,Total_Income,Income_Type,Education_Type,Family_Status,Housing_Type,Owned_Mobile_Phone,Owned_Work_Phone,Owned_Phone,Owned_Email,Job_Title,Total_Family_Members,Applicant_Age,Years_of_Working,Total_Bad_Debt,Total_Good_Debt,Status
5009092,M      ,1,1,1,765000,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,1,0,0,Managers                                          ,3,34,4,2,2,0
5009524,M      ,1,0,1,112500,Working                                           ,Secondary / secondary special                     ,Separated                                         ,Co-op apartment                                   ,1,1,0,0,Laborers                                          ,2,33,4,14,6,0
5010494,F      ,1,0,2,270000,State servant                                     ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Secretaries                                       ,4,38,13,6,6,0
5021430,F      ,0,1,0,126000,Commercial associate                              ,Higher education                                  ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Sales staff                                       ,1,52,7,9,5,0
5021431,F      ,0,1,0,126000,Commercial associate                              ,Higher education                                  ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Sales staff                                       ,1,52,7,9,5,0
5021646,F      ,0,1,0,292500,Working                                           ,Higher education                                  ,Civil marriage                                    ,House / apartment                                 ,1,0,0,1,Managers                                          ,2,35,15,3,3,0
5024039,F      ,0,0,0,135000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Sales staff                                       ,2,43,2,7,1,0
5024249,F      ,0,1,1,135000,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,1,0,Laborers                                          ,3,39,2,12,10,0
5024332,F      ,0,0,0,427500,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Sales staff                                       ,2,58,17,5,4,0
5025127,M      ,0,1,0,292500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,High skill tech staff                             ,2,31,10,18,3,0
5025192,F      ,0,0,1,112500,Working                                           ,Secondary / secondary special                     ,Civil marriage                                    ,With parents                                      ,1,0,0,0,Laborers                                          ,3,36,8,3,3,0
5028478,M      ,0,1,0,148500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,1,0,Laborers                                          ,2,24,4,3,3,0
5028580,M      ,0,0,0,540000,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,2,55,2,4,3,0
5029028,F      ,0,1,0,90000,Working                                           ,Lower secondary                                   ,Single / not married                              ,Rented apartment                                  ,1,0,0,0,Cleaning staff                                    ,2,33,14,15,1,0
5033453,F      ,0,0,0,135000,Working                                           ,Higher education                                  ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Laborers                                          ,1,30,7,8,1,0
5033514,F      ,1,0,1,135000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,0,0,Sales staff                                       ,3,44,2,11,11,0
5033778,M      ,0,1,0,225000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Medicine staff                                    ,2,56,9,2,2,0
5033886,M      ,0,1,0,135000,Working                                           ,Secondary / secondary special                     ,Civil marriage                                    ,House / apartment                                 ,1,0,0,0,Low-skill Laborers                                ,2,25,2,6,4,0
5033909,F      ,0,1,2,148500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,1,0,Sales staff                                       ,4,34,3,5,2,0
5036405,F      ,1,1,0,112500,Working                                           ,Secondary / secondary special                     ,Civil marriage                                    ,House / apartment                                 ,1,0,0,0,Cooking staff                                     ,2,38,4,1,1,0
5036590,M      ,1,1,0,292500,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Drivers                                           ,2,58,3,11,3,0
5038807,M      ,1,1,0,202500,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,1,Laborers                                          ,2,35,15,22,21,0
5041175,F      ,0,1,1,180000,Working                                           ,Incomplete higher                                 ,Married                                           ,Municipal apartment                               ,1,1,1,0,Core staff                                        ,3,30,1,19,18,0
5041496,M      ,1,1,0,90000,Working                                           ,Secondary / secondary special                     ,Civil marriage                                    ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,36,1,7,5,0
5046324,F      ,0,1,1,157500,Commercial associate                              ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,0,1,0,Low-skill Laborers                                ,3,43,7,40,1,0
5046328,F      ,0,1,1,157500,Pensioner                                         ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,0,1,0,Low-skill Laborers                                ,3,43,7,12,1,0
5047662,F      ,0,1,1,67500,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Accountants                                       ,3,52,12,18,17,0
5048117,M      ,1,1,1,225000,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,3,34,4,6,4,0
5050671,M      ,0,0,0,171000,Commercial associate                              ,Incomplete higher                                 ,Single / not married                              ,House / apartment                                 ,1,1,1,0,High skill tech staff                             ,1,32,1,20,6,0
5051132,F      ,0,0,0,450000,Commercial associate                              ,Higher education                                  ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Core staff                                        ,1,28,1,6,3,0
5051160,M      ,1,0,1,135000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Laborers                                          ,3,27,3,16,14,0
5052651,F      ,0,1,0,103500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,1,IT staff                                          ,2,29,2,1,1,0
5052652,F      ,0,1,0,103500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,1,IT staff                                          ,2,29,2,1,1,0
5052653,F      ,0,1,0,103500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,1,IT staff                                          ,2,29,2,7,4,0
5052659,F      ,0,1,0,103500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,1,IT staff                                          ,2,29,2,15,4,0
5052661,F      ,0,1,0,103500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,1,IT staff                                          ,2,29,2,11,4,0
5053254,F      ,1,1,0,180000,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,0,0,Managers                                          ,2,52,6,16,16,0
5054126,M      ,0,0,0,190400,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,0,0,Core staff                                        ,2,29,4,1,1,0
5054129,M      ,0,0,0,190400,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,0,0,Core staff                                        ,2,29,4,1,1,0
5054649,M      ,1,1,1,135000,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,3,52,18,11,6,0
5054650,M      ,1,1,1,135000,Working                                           ,Higher education                                  ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Managers                                          ,3,52,18,8,3,0
5054741,F      ,0,1,0,247500,Commercial associate                              ,Secondary / secondary special                     ,Civil marriage                                    ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,49,1,1,1,0
5061467,M      ,1,1,0,90000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,1,0,Laborers                                          ,2,33,5,15,3,0
5062149,F      ,1,1,0,202500,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,1,Sales staff                                       ,2,39,3,10,6,0
5065817,F      ,0,1,1,72000,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,0,0,Core staff                                        ,3,23,2,2,2,0
5066450,F      ,0,1,0,315000,Commercial associate                              ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Cleaning staff                                    ,1,56,4,2,1,0
5067501,F      ,0,1,1,112500,State servant                                     ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Core staff                                        ,3,50,26,11,4,0
5068779,F      ,0,0,0,180000,Working                                           ,Secondary / secondary special                     ,Single / not married                              ,With parents                                      ,1,1,1,0,Private service staff                             ,1,37,11,7,5,0
5069144,F      ,0,0,0,135000,Commercial associate                              ,Higher education                                  ,Married                                           ,With parents                                      ,1,0,0,1,Core staff                                        ,2,43,2,1,1,0
5069219,F      ,1,1,0,256500,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,1,0,0,Accountants                                       ,2,31,5,21,7,0
5078820,F      ,0,0,2,225000,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,High skill tech staff                             ,4,40,14,20,16,0
5078839,M      ,0,1,0,225000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Medicine staff                                    ,2,56,9,2,2,0
5078840,M      ,0,1,0,225000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Medicine staff                                    ,2,56,9,2,2,0
5078841,M      ,0,1,0,225000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Medicine staff                                    ,2,56,9,2,2,0
5079018,M      ,1,1,2,900000,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,4,28,3,7,1,0
5079167,M      ,1,0,0,202500,Working                                           ,Secondary / secondary special                     ,Married                                           ,With parents                                      ,1,0,0,0,Laborers                                          ,2,38,4,16,11,0
5079168,M      ,1,0,0,202500,Working                                           ,Secondary / secondary special                     ,Married                                           ,With parents                                      ,1,0,0,0,Laborers                                          ,2,38,4,16,10,0
5085886,M      ,1,1,0,315000,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,2,52,4,49,12,0
5089433,F      ,1,0,2,67500,Working                                           ,Secondary / secondary special                     ,Married                                           ,Municipal apartment                               ,1,1,0,0,Sales staff                                       ,4,32,4,7,4,0
5089577,F      ,0,0,0,202500,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,1,0,0,Sales staff                                       ,2,31,8,3,3,0
5090214,M      ,1,1,0,135000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,30,1,8,6,0
5091564,F      ,1,1,1,135000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,1,0,Sales staff                                       ,3,41,5,1,1,0
5091902,F      ,1,1,0,225000,Working                                           ,Secondary / secondary special                     ,Widow                                             ,House / apartment                                 ,1,0,0,0,Cleaning staff                                    ,1,55,5,14,14,0
5092090,F      ,0,1,0,67500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Cooking staff                                     ,2,41,2,2,1,0
5092414,M      ,1,1,0,225000,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,1,Laborers                                          ,2,38,7,10,7,0
5093260,F      ,1,1,0,157500,Working                                           ,Secondary / secondary special                     ,Widow                                             ,House / apartment                                 ,1,0,0,0,Sales staff                                       ,1,43,5,10,1,0
5093283,M      ,1,0,0,225000,Commercial associate                              ,Secondary / secondary special                     ,Separated                                         ,House / apartment                                 ,1,0,0,0,Drivers                                           ,1,43,6,2,2,0
5093286,M      ,0,1,0,157500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,49,4,35,2,0
5096079,M      ,0,0,1,207000,State servant                                     ,Higher education                                  ,Married                                           ,Office apartment                                  ,1,0,0,0,Core staff                                        ,3,41,8,2,2,0
5097145,M      ,1,0,1,405000,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,1,0,Managers                                          ,3,41,4,19,15,0
5100167,F      ,0,1,0,76500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,1,0,Waiters/barmen staff                              ,2,43,1,5,3,0
5100411,F      ,1,1,0,135000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,0,0,Accountants                                       ,2,37,11,1,1,0
5100430,M      ,1,0,0,180000,Working                                           ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Laborers                                          ,1,45,2,12,11,0
5105036,F      ,0,0,1,121500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Laborers                                          ,3,41,1,4,3,0
5105536,M      ,1,0,0,202500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Drivers                                           ,2,28,7,5,3,0
5105538,M      ,1,0,0,202500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Drivers                                           ,2,28,7,5,3,0
5105644,M      ,1,1,0,202500,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Drivers                                           ,2,49,9,7,7,0
5112806,M      ,1,1,1,292500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,1,0,Laborers                                          ,3,46,13,1,1,0
5113621,M      ,0,0,0,225000,Working                                           ,Secondary / secondary special                     ,Widow                                             ,Municipal apartment                               ,1,0,0,0,Security staff                                    ,1,54,1,28,3,0
5113622,M      ,0,0,0,225000,Working                                           ,Secondary / secondary special                     ,Widow                                             ,Municipal apartment                               ,1,0,0,0,Security staff                                    ,1,54,1,5,3,0
5116839,F      ,1,1,1,126000,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,1,0,Core staff                                        ,3,28,2,4,4,0
5116906,M      ,1,1,0,211500,Pensioner                                         ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Core staff                                        ,2,42,21,9,6,0
5116907,M      ,1,1,0,211500,Pensioner                                         ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Core staff                                        ,2,42,21,4,4,0
5117032,M      ,1,0,0,90000,Working                                           ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,1,1,0,Security staff                                    ,1,29,4,2,2,0
5117313,F      ,0,1,1,157500,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,1,0,Laborers                                          ,3,36,11,48,5,0
5118308,M      ,1,0,0,270000,Commercial associate                              ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,1,1,0,Drivers                                           ,1,37,4,2,2,0
5118309,M      ,1,0,0,270000,Commercial associate                              ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,1,1,0,Drivers                                           ,1,37,4,3,2,0
5118442,F      ,1,0,1,108000,Commercial associate                              ,Higher education                                  ,Single / not married                              ,House / apartment                                 ,1,1,0,0,Sales staff                                       ,3,45,2,5,4,0
5118643,F      ,0,0,1,112500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,0,0,Cooking staff                                     ,3,28,2,7,4,0
5125340,F      ,1,1,0,157500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Managers                                          ,2,48,15,5,4,0
5125716,F      ,1,1,0,135000,Working                                           ,Lower secondary                                   ,Married                                           ,House / apartment                                 ,1,0,1,0,High skill tech staff                             ,2,45,2,17,5,0
5125761,M      ,0,1,0,270000,Commercial associate                              ,Secondary / secondary special                     ,Single / not married                              ,Municipal apartment                               ,1,0,0,0,Cooking staff                                     ,1,50,5,4,2,0
5125832,M      ,0,1,0,270000,Commercial associate                              ,Incomplete higher                                 ,Single / not married                              ,House / apartment                                 ,1,0,0,1,Sales staff                                       ,1,32,1,9,2,0
5125833,M      ,0,1,0,270000,Commercial associate                              ,Incomplete higher                                 ,Single / not married                              ,House / apartment                                 ,1,0,0,1,Sales staff                                       ,1,32,1,11,5,0
5126128,F      ,1,0,0,72000,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,1,0,Medicine staff                                    ,2,42,1,23,17,0
5126261,F      ,0,0,2,72000,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,0,0,Sales staff                                       ,4,34,7,6,4,0
5126509,F      ,0,0,0,112500,State servant                                     ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,1,1,0,Security staff                                    ,1,53,16,3,2,0
5126712,M      ,0,1,1,157500,Working                                           ,Secondary / secondary special                     ,Married                                           ,Office apartment                                  ,1,0,0,0,Managers                                          ,3,31,10,4,3,0
5126716,M      ,0,1,1,157500,Working                                           ,Secondary / secondary special                     ,Married                                           ,Office apartment                                  ,1,0,0,0,Managers                                          ,3,31,10,4,3,0
5126719,M      ,0,1,1,157500,Working                                           ,Secondary / secondary special                     ,Married                                           ,Office apartment                                  ,1,0,0,0,Managers                                          ,3,31,10,4,3,0
5135344,M      ,0,1,0,112500,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Security staff                                    ,2,56,2,35,15,0
5135345,M      ,0,1,0,112500,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Security staff                                    ,2,56,2,35,15,0
5135346,M      ,0,1,0,112500,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,0,0,Security staff                                    ,2,56,2,35,15,0
5135483,M      ,0,1,0,135000,State servant                                     ,Higher education                                  ,Single / not married                              ,Municipal apartment                               ,1,0,0,0,Core staff                                        ,1,30,6,5,5,0
5135691,M      ,1,0,0,225000,Working                                           ,Incomplete higher                                 ,Civil marriage                                    ,House / apartment                                 ,1,0,0,0,Security staff                                    ,2,30,2,6,5,0
5135990,F      ,0,1,1,585000,Commercial associate                              ,Higher education                                  ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Managers                                          ,2,29,3,20,19,0
5135991,F      ,0,1,1,585000,Commercial associate                              ,Higher education                                  ,Single / not married                              ,House / apartment                                 ,1,0,0,0,Managers                                          ,2,29,3,20,15,0
5142361,M      ,1,1,1,112500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,1,0,Drivers                                           ,3,45,3,48,11,0
5142362,M      ,1,1,1,112500,Working                                           ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,1,1,0,Drivers                                           ,3,45,3,48,11,0
5142456,F      ,0,0,0,67500,Commercial associate                              ,Higher education                                  ,Separated                                         ,House / apartment                                 ,1,0,1,0,Core staff                                        ,1,52,2,5,1,0
5142458,F      ,0,1,0,67500,Commercial associate                              ,Higher education                                  ,Separated                                         ,House / apartment                                 ,1,0,1,0,Core staff                                        ,1,52,2,5,2,0
5142459,F      ,0,1,0,67500,Commercial associate                              ,Higher education                                  ,Separated                                         ,House / apartment                                 ,1,0,1,0,Core staff                                        ,1,52,2,5,2,0
5143578,M      ,1,0,0,157500,Working                                           ,Incomplete higher                                 ,Single / not married                              ,With parents                                      ,1,1,0,0,Drivers                                           ,2,25,3,8,7,0
5146302,M      ,0,1,0,270000,Commercial associate                              ,Secondary / secondary special                     ,Married                                           ,House / apartment                                 ,1,0,0,0,Laborers                                          ,2,47,2,1,1,0
5148934,M      ,1,0,0,108000,Working                                           ,Secondary / secondary special                     ,Married                                           ,Office apartment                                  ,1,0,0,0,Security staff                                    ,2,48,3,11,11,0
5149188,M      ,1,0,1,450000,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,1,1,Core staff                                        ,3,27,2,11,2,0
5149190,M      ,1,0,1,450000,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,1,1,Core staff                                        ,3,27,2,10,2,0
5149192,M      ,1,0,1,450000,Working                                           ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,1,1,Core staff                                        ,3,27,2,11,2,0
5149754,F      ,0,1,1,180000,State servant                                     ,Secondary / secondary special                     ,Single / not married                              ,House / apartment                                 ,1,0,1,0,Medicine staff                                    ,2,37,11,1,1,0
5149834,F      ,0,1,0,157500,Commercial associate                              ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,1,1,Medicine staff                                    ,2,34,4,18,6,0
5149838,F      ,0,1,0,157500,Pensioner                                         ,Higher education                                  ,Married                                           ,House / apartment                                 ,1,0,1,1,Medicine staff                                    ,2,34,4,18,15,0
